key,model,regime,n,frac_total,class_prevalence,is_degenerate,auroc,pr_auc,f1,precision,recall,accuracy,ece,brier,min_class_n
sub09_k3_constrained,logistic_regression,informative,186,0.124000,0.279570,False,0.963404,0.895272,0.840336,0.746269,0.961538,0.897849,0.182570,0.062579,52.000000
sub09_k3_constrained,logistic_regression,saturated,19,0.012667,1.000000,True,,,0.972973,1.000000,0.947368,0.947368,0.121000,0.035203,0.000000
sub09_k3_constrained,logistic_regression,aggregate,1500,1.000000,0.047333,False,0.963059,0.509219,0.448845,0.293103,0.957746,0.888667,0.149482,0.069631,71.000000
sub09_k3_constrained,cnn,under_failure,1295,0.863333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.038678,0.004500,0.000000
sub09_k3_constrained,cnn,informative,186,0.124000,0.279570,False,0.707520,0.554310,0.000000,0.000000,0.000000,0.720430,0.208855,0.101602,52.000000
sub09_k3_constrained,cnn,saturated,19,0.012667,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.715298,0.514358,0.000000
sub09_k3_constrained,cnn,aggregate,1500,1.000000,0.047333,False,0.772529,0.281457,0.000000,0.000000,0.000000,0.952667,0.024958,0.022999,71.000000
sub12_k5_simple,xgboost,under_failure,1344,0.896000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.005641,0.001705,0.000000
sub12_k5_simple,xgboost,informative,156,0.104000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.058662,0.007811,0.000000
sub12_k5_simple,xgboost,saturated,0,0.000000,,True,,,,,,,,,
sub12_k5_simple,xgboost,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001159,0.002340,0.000000
sub12_k5_simple,random_forest,under_failure,1344,0.896000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.004333,0.001706,0.000000
sub12_k5_simple,random_forest,informative,156,0.104000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.055632,0.007768,0.000000
sub12_k5_simple,random_forest,saturated,0,0.000000,,True,,,,,,,,,
sub12_k5_simple,random_forest,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.002356,0.002337,0.000000
sub12_k5_simple,logistic_regression,under_failure,1344,0.896000,0.000000,True,,,0.000000,0.000000,0.000000,0.998512,0.056661,0.005718,0.000000
sub12_k5_simple,logistic_regression,informative,156,0.104000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.227176,0.055882,0.000000
sub12_k5_simple,logistic_regression,saturated,0,0.000000,,True,,,,,,,,,
sub12_k5_simple,logistic_regression,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,0.998667,0.074395,0.010935,0.000000
sub12_k5_simple,cnn,under_failure,1344,0.896000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.016737,0.002400,0.000000
sub12_k5_simple,cnn,informative,156,0.104000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.118934,0.019420,0.000000
sub12_k5_simple,cnn,saturated,0,0.000000,,True,,,,,,,,,
sub12_k5_simple,cnn,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.002627,0.004170,0.000000
sub12_k5_constrained,xgboost,under_failure,1478,0.985333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001880,0.000835,0.000000
sub12_k5_constrained,xgboost,informative,22,0.014667,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.107335,0.012062,0.000000
sub12_k5_constrained,xgboost,saturated,0,0.000000,,True,,,,,,,,,
sub12_k5_constrained,xgboost,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000278,0.001000,0.000000
sub12_k5_constrained,random_forest,under_failure,1478,0.985333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001771,0.000848,0.000000
sub12_k5_constrained,random_forest,informative,22,0.014667,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.104947,0.011406,0.000000
sub12_k5_constrained,random_forest,saturated,0,0.000000,,True,,,,,,,,,
sub12_k5_constrained,random_forest,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000206,0.001003,0.000000
sub12_k5_constrained,logistic_regression,under_failure,1478,0.985333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.030424,0.002056,0.000000
sub12_k5_constrained,logistic_regression,informative,22,0.014667,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.175758,0.031111,0.000000
sub12_k5_constrained,logistic_regression,saturated,0,0.000000,,True,,,,,,,,,
sub12_k5_constrained,logistic_regression,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.032556,0.002482,0.000000
sub12_k5_constrained,cnn,under_failure,1478,0.985333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.003704,0.001038,0.000000
