key,delta,model,tf_forced,tf_abstain,abstained,val_gain_pp,gain_forced_pp,gain_abstain_pp,p_forced,p_abstain,p_adj_forced,p_adj_abstain,direction_forced,direction_abstain
sub18_k5_constrained,4,risk,0.05,0,True,-0.253333,-0.437778,0,9.03396e-05,,0.000142152,,worse,ns
sub18_k5_constrained,4,benefit,0.05,0,True,-0.293333,-0.413333,0,3.76399e-05,,4.95891e-05,,worse,ns
sub18_k5_simple,1,risk,0.05,0,True,-0.64,-0.697778,0,1.69441e-06,,3.70228e-06,,worse,ns
sub18_k5_simple,2,risk,0.05,0.05,False,0.0644444,0.113333,0.113333,0.0728196,0.0728196,0.088542,0.0916987,ns,ns
sub18_k5_simple,2,benefit,0.05,0,True,-0.0111111,0.0911111,0,0.132283,,0.144467,,ns,ns
sub18_k5_simple,3,risk,0.05,0,True,-1.01556,-0.966667,0,1.70729e-06,,3.70228e-06,,worse,ns
sub18_k5_simple,3,benefit,0.05,0,True,-1.22,-1.09778,0,1.71161e-06,,3.0571e-06,,worse,ns
sub18_k5_simple,4,risk,0.05,0,True,-0.1,-0.14,0,0.205516,,0.233939,,ns,ns
sub18_k5_simple,4,benefit,0.05,0,True,-0.197778,-0.131111,0,0.123971,,0.137194,,ns,ns
sub20_k3_constrained,1,risk,0.05,0,True,-0.304444,-0.335556,0,1.651e-06,,3.70228e-06,,worse,ns
sub20_k3_constrained,2,risk,0.3,0.3,False,0.584444,0.544444,0.544444,3.85581e-05,3.85581e-05,6.25109e-05,7.71163e-05,better,better
sub20_k3_constrained,2,benefit,0.3,0.3,False,1.59778,1.74889,1.74889,1.71161e-06,1.71161e-06,3.0571e-06,3.11603e-06,better,better
sub20_k3_constrained,3,risk,0.3,0,True,-0.268889,-0.282222,0,0.0195129,,0.0260985,,worse,ns
sub20_k3_constrained,3,benefit,0.05,0,True,-0.322222,-0.386667,0,1.69334e-06,,3.0571e-06,,worse,ns
sub20_k3_constrained,4,risk,0.3,0.3,False,3.18889,3.35556,3.35556,1.72895e-06,1.72895e-06,3.70228e-06,4.90177e-06,better,better
sub20_k3_constrained,4,benefit,0.3,0.3,False,5.32667,5.60444,5.60444,1.72134e-06,1.72134e-06,3.0571e-06,3.11603e-06,better,better
sub20_k3_simple,1,risk,0.05,0,True,-0.337778,-0.32,0,1.66678e-06,,3.70228e-06,,worse,ns
sub20_k3_simple,2,risk,0.05,0,True,-0.333333,-0.311111,0,1.671e-06,,3.70228e-06,,worse,ns
sub20_k3_simple,2,benefit,0.3,0.3,False,2.96,3.08,3.08,1.72026e-06,1.72026e-06,3.0571e-06,3.11603e-06,better,better
sub20_k3_simple,3,risk,0.05,0,True,-0.477778,-0.464444,0,1.66572e-06,,3.70228e-06,,worse,ns
sub20_k3_simple,3,benefit,0.05,0,True,-0.346667,-0.466667,0,1.61983e-06,,3.0571e-06,,worse,ns
sub20_k3_simple,4,risk,0.05,0,True,-0.448889,-0.444444,0,1.62706e-06,,3.70228e-06,,worse,ns
sub20_k3_simple,4,benefit,0.3,0.3,False,7.18667,7.37333,7.37333,1.73004e-06,1.73004e-06,3.0571e-06,3.11603e-06,better,better
sub20_k5_constrained,1,risk,0.05,0,True,-0.893333,-0.831111,0,1.72026e-06,,3.70228e-06,,worse,ns
sub20_k5_constrained,2,risk,0.2,0.2,False,0.128889,0.0177778,0.0177778,0.990907,0.990907,0.990907,0.990907,ns,ns
sub20_k5_constrained,2,benefit,0.05,0.05,False,0.0888889,-0.0266667,-0.0266667,0.62174,0.62174,0.62174,0.62174,ns,ns
sub20_k5_constrained,3,risk,0.05,0,True,-1.08444,-1.08444,0,1.72569e-06,,3.70228e-06,,worse,ns
sub20_k5_constrained,3,benefit,0.05,0,True,-1.03333,-1.08889,0,1.70837e-06,,3.0571e-06,,worse,ns
sub20_k5_constrained,4,risk,0.05,0,True,-0.4,-0.3,0,0.000254659,,0.000385088,,worse,ns
sub20_k5_constrained,4,benefit,0.05,0,True,-0.42,-0.246667,0,0.00297194,,0.00347423,,worse,ns
sub20_k5_simple,1,risk,0.05,0,True,-0.955556,-0.844444,0,1.71161e-06,,3.70228e-06,,worse,ns
sub20_k5_simple,2,risk,0.05,0,True,-0.435556,-0.371111,0,2.21442e-05,,3.70223e-05,,worse,ns
sub20_k5_simple,2,benefit,0.05,0,True,-0.411111,-0.344444,0,1.4313e-05,,1.97997e-05,,worse,ns
sub20_k5_simple,3,risk,0.05,0,True,-1.60444,-1.46444,0,1.72243e-06,,3.70228e-06,,worse,ns
sub20_k5_simple,3,benefit,0.05,0,True,-1.62222,-1.42667,0,1.72134e-06,,3.0571e-06,,worse,ns
sub20_k5_simple,4,risk,0.05,0,True,-0.964444,-0.773333,0,1.72026e-06,,3.70228e-06,,worse,ns
sub20_k5_simple,4,benefit,0.05,0,True,-0.931111,-0.742222,0,1.89352e-06,,3.27421e-06,,worse,ns
